sample_id	plant_code	latitude	longitude	site	plant_species	aphid_species	transfected
Y20-0309	cha	47.38854443	8.466462912	Dunkelhölzlistrasse	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0311	ruf	47.39352236	8.46662946	Pestalozziweg	Rubus_fruticosus	Aphis_ruborum	no
Y20-0314	cha	47.3921344	8.456926821	Schlieren	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0316	ruf	47.40280234	8.466332909	Ballonstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0401	heh	47.3988452	8.6204567	Bahnhofstrasse	Hedera_helix	Aphis_hederae	no
Y20-0402	heh	47.40120554	8.60590294	Bahnhofstrasse	Hedera_helix	Aphis_hederae	no
Y20-0403	heh	47.40175483	8.61996015	Im	Hedera_helix	Aphis_hederae	no
Y20-0405	ruf	47.405496	8.613272	Eawag	Rubus_fruticosus	Aphis_ruborum	no
Y20-0406	ruf	47.43085607	8.54438797	Glatttalstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0407	cha	47.43348421	8.54265696	Glatttalstrasse	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0408	cha	47.43496027	8.5400341	Glatttalstrasse	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0410	cha	47.44958629	8.51585809	Mülirain	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0411	ruf	47.45180368	8.5168294	Heuelstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0412	cha	47.45390924	8.53252131	Bahnhofpl.	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0413	ruf	47.45393483	8.53211099	Bahnhofpl.	Rubus_fruticosus	Aphis_ruborum	no
Y20-0414	ruf	47.45446487	8.5342229	Bahnhofpl.	Rubus_fruticosus	Aphis_ruborum	no
Y20-0415	ruf	47.45499491	8.53633481	Klotenerstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0417	cha	47.44058351	8.55414625	Oberhauserstrasse	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0419	ruf	47.42591803	8.57385167	Wallisellerstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0420	ruf	47.42556333	8.57364762	Wallisellerstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0421	ruf	47.41941841	8.56786966	Orion-Strasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0422	ruf	47.41763468	8.566962605	Orion-Strasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0423	ruf	47.41585095	8.56605555	Orionstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0425	ruf	47.42017352	8.55603259	Schärenmoosstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0427	cha	47.49948021	8.45254316	Schulwiesstrasse	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0428	cha	47.50022916	8.44826483	Grebweg	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0431	cha	47.49887257	8.4428373	Chrebsbachstrasse	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0432	cha	47.49781433	8.4376475	Mirmenhof	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0435	cha	47.49120776	8.45759548	Storchensiedlung	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0436	cha	47.4909901	8.45679793	Storchensiedlung	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0438	ruf	47.38486922	8.6268362	Buenstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0439	ruf	47.38474787	8.6267145	Buenstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0440	ruf	47.38469545	8.6269016	Buenstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0441	ruf	47.38437907	8.62683097	Hellhaggenweg	Rubus_fruticosus	Aphis_ruborum	no
Y20-0444	cha	47.38118708	8.63115948	Breiti	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0445	cha	47.38105766	8.63156447	Breiti	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0446	cha	47.38110804	8.6316156	Breiti	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0447	cha	47.38103283	8.63162206	Breiti	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0448	cha	47.38097278	8.63179244	Breiti	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0450	cha	47.38057317	8.63236814	Buenstrasse	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0452	cha	47.38022663	8.63211532	Breiti	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0453	cha	47.38058052	8.63164022	Breiti	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0454	cha	47.38061381	8.63165517	Breiti	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0455	cha	47.38401464	8.63026416	Buenstrasse	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0601	cha	47.43390162	8.5424664	Glatttalstrasse	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0603	cha	47.44983044	8.5156015	Mülirain	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0604	ruf	47.45174045	8.51702464	Heuelstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0605	ruf	47.45407028	8.53199586	Bahnhofpl	Rubus_fruticosus	Aphis_ruborum	no
Y20-0606	ruf	47.45408484	8.53206463	Bahnhofpl	Rubus_fruticosus	Aphis_ruborum	no
Y20-0608	ruf	47.45515031	8.5363081	Flughofstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0609	ruf	47.45506209	8.5363048	Flughofstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0613	ruf	47.41952404	8.56795835	Orion-Strasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0614	ruf	47.41578567	8.56634915	Orionstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0615	ruf	47.41569594	8.56628053	Orionstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0617	ruf	47.4188715	8.55480993	Thurgauerstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0619	ruf	47.46341033	8.1577056	Wallbach	Rubus_fruticosus	Aphis_ruborum	yes
Y20-0621	heh	47.46377222	8.16020783	Hauptstrasse	Hedera_helix	Aphis_hederae	no
Y20-0626	ruf	47.46136915	8.15904096	Wallbach	Rubus_fruticosus	Aphis_ruborum	no
Y20-0627	ruf	47.4603789	8.15950671	Villnachern	Rubus_fruticosus	Aphis_ruborum	no
Y20-0628	ruf	47.46006772	8.15882843	Unter	Rubus_fruticosus	Aphis_ruborum	no
Y20-0631	ruf	47.45547851	8.15913377	Unter	Rubus_fruticosus	Aphis_ruborum	no
Y20-0632	ruf	47.45371282	8.16107889	Stauwehr	Rubus_fruticosus	Aphis_ruborum	no
Y20-0635	ruf	47.46178821	8.16054718	Villnachern	Rubus_fruticosus	Aphis_ruborum	no
Y20-0638	ruf	47.4664411	8.16413182	Bäumliackerstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0640	ruf	47.46643778	8.16392887	Bäumliackerstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0641	ruf	47.46545946	8.16273827	Bäumliackerweg	Rubus_fruticosus	Aphis_ruborum	no
Y20-0644	ruf	47.46538519	8.16261205	Bäumliackerweg	Rubus_fruticosus	Aphis_ruborum	no
