Replicate	Aphid_line	Parasitoid_line	Block	Latitude_wasp	Longitude_wasp	Wasp_host_species	Hamiltonella_host_species	Wasp_genotype	Nymphs_corrected	Dead_wasp	Mummies_amount	Hatching_wasps
6	TR-0103	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	1	10	no	10	6
2	TR-0131	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	1	10	no	4	3
3	TR-0131	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	1	10	yes	0	0
4	TR-0131	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	1	10	no	3	1
5	TR-0131	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	1	10	no	5	5
6	TR-0131	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	1	10	no	3	3
2	TR-0191	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	1	10	no	4	3
3	TR-0191	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	1	10	no	1	1
4	TR-0191	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	1	10	no	7	4
5	TR-0191	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	1	10	no	7	4
6	TR-0191	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	1	10	no	6	5
2	TR-0214	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	1	10	no	0	0
3	TR-0214	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	1	10	no	0	0
4	TR-0214	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	1	10	no	0	0
5	TR-0214	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	1	10	no	0	0
6	TR-0214	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	1	10	no	0	0
1	TR-0016	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	1	10	no	9	8
2	TR-0244	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	1	9	no	0	0
3	TR-0244	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	1	10	no	0	0
4	TR-0244	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	1	10	no	0	0
5	TR-0244	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	1	10	no	0	0
6	TR-0244	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	1	10	no	0	0
2	TR-0619	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	1	10	no	1	1
3	TR-0619	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	1	10	no	0	0
4	TR-0619	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	1	10	no	3	3
5	TR-0619	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	1	10	no	0	0
6	TR-0619	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	1	10	no	10	8
1	TR-0042	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_fabae_fabae	1	10	no	6	5
1	TR-0076	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_fabae_fabae	1	10	yes	0	0
1	TR-0103	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	1	8	no	5	5
1	TR-0131	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	1	10	no	4	4
